feature_name,group,description_vi,description_en,dtype,unit,formula_or_source,range_or_notes
Usage_kWh_lag_2,F. Time-Domain Lag,Tiêu thụ 30 phút trước,Usage 30 min ago,float64,kWh,"shift(Usage_kWh, 2)",2 NaN at start
Usage_kWh_lag_4,F. Time-Domain Lag,Tiêu thụ 1 giờ trước,Usage 1 hour ago,float64,kWh,"shift(Usage_kWh, 4)",4 NaN at start
Usage_kWh_lag_96,F. Time-Domain Lag,Tiêu thụ 24 giờ trước,Usage 24 hours ago,float64,kWh,"shift(Usage_kWh, 96)",96 NaN at start; strong autocorr ~0.92
Usage_kWh_rmean_24,G. Time-Domain Rolling,Trung bình trượt 6 giờ,6-hour rolling mean,float64,kWh,"rolling(Usage_kWh, 24).mean()",center=False; min_periods=1
Usage_kWh_rstd_24,G. Time-Domain Rolling,Độ lệch chuẩn trượt 6 giờ,6-hour rolling std,float64,kWh,"rolling(Usage_kWh, 24).std()",Spikes 2-4h before overload events
Usage_kWh_rskew_24,G. Time-Domain Rolling,Độ xiên trượt 6 giờ,6-hour rolling skewness,float64,—,"rolling(Usage_kWh, 24).skew()",Detects asymmetric tails
Usage_kWh_rmean_48,G. Time-Domain Rolling,Trung bình trượt 12 giờ,12-hour rolling mean,float64,kWh,"rolling(Usage_kWh, 48).mean()",Medium-term trend
Usage_kWh_rstd_48,G. Time-Domain Rolling,Độ lệch chuẩn trượt 12 giờ,12-hour rolling std,float64,kWh,"rolling(Usage_kWh, 48).std()",—
Usage_kWh_rskew_48,G. Time-Domain Rolling,Độ xiên trượt 12 giờ,12-hour rolling skewness,float64,—,"rolling(Usage_kWh, 48).skew()",—
Usage_kWh_rmean_96,G. Time-Domain Rolling,Trung bình trượt 24 giờ,24-hour rolling mean,float64,kWh,"rolling(Usage_kWh, 96).mean()",Daily trend baseline
Usage_kWh_rstd_96,G. Time-Domain Rolling,Độ lệch chuẩn trượt 24 giờ,24-hour rolling std,float64,kWh,"rolling(Usage_kWh, 96).std()",—
Usage_kWh_rskew_96,G. Time-Domain Rolling,Độ xiên trượt 24 giờ,24-hour rolling skewness,float64,—,"rolling(Usage_kWh, 96).skew()",—
NSM_sin,H. Cyclical Encoding,Sin của góc chu kỳ ngày,Sine of daily cycle angle,float64,—,sin(2π · NSM / 86400),Ensures continuity at midnight
NSM_cos,H. Cyclical Encoding,Cos của góc chu kỳ ngày,Cosine of daily cycle angle,float64,—,cos(2π · NSM / 86400),Pairs with NSM_sin for circular coords
Usage_kWh_cA_mean,I. Frequency-Domain DWT,Trung bình hệ số xấp xỉ cA3,Mean of approximation coeff cA3,float64,kWh,"pywt.wavedec(db4, L=3); mean(cA)",Trend component; 63 NaN at start
Usage_kWh_cA_std,I. Frequency-Domain DWT,Độ lệch chuẩn cA3,Std of approximation coeff cA3,float64,kWh,std(cA),—
Usage_kWh_cA_energy,I. Frequency-Domain DWT,Năng lượng cA3,Energy of cA3,float64,kWh²,sum(cA²),—
Usage_kWh_cA_max_abs,I. Frequency-Domain DWT,Max abs cA3,Max absolute cA3,float64,kWh,max(|cA|),—
Usage_kWh_cD3_mean,I. Frequency-Domain DWT,Trung bình chi tiết cD3 (tần số thấp),Mean of detail coeff cD3 (low freq),float64,kWh,mean(cD3),Day peak/valley transitions
Usage_kWh_cD3_std,I. Frequency-Domain DWT,Độ lệch chuẩn cD3,Std of cD3,float64,kWh,std(cD3),—
Usage_kWh_cD3_energy,I. Frequency-Domain DWT,Năng lượng cD3,Energy of cD3,float64,kWh²,sum(cD3²),—
Usage_kWh_cD3_max_abs,I. Frequency-Domain DWT,Max abs cD3,Max absolute cD3,float64,kWh,max(|cD3|),—
Usage_kWh_cD2_mean,I. Frequency-Domain DWT,Trung bình chi tiết cD2 (tần số TB),Mean of detail coeff cD2 (mid freq),float64,kWh,mean(cD2),Furnace on/off events
Usage_kWh_cD2_std,I. Frequency-Domain DWT,Độ lệch chuẩn cD2,Std of cD2,float64,kWh,std(cD2),—
Usage_kWh_cD2_energy,I. Frequency-Domain DWT,Năng lượng cD2,Energy of cD2,float64,kWh²,sum(cD2²),—
Usage_kWh_cD2_max_abs,I. Frequency-Domain DWT,Max abs cD2,Max absolute cD2,float64,kWh,max(|cD2|),—
Usage_kWh_cD1_mean,I. Frequency-Domain DWT,Trung bình chi tiết cD1 (tần số cao),Mean of detail coeff cD1 (high freq),float64,kWh,mean(cD1),Sudden load spikes; most sensitive to outliers
Usage_kWh_cD1_std,I. Frequency-Domain DWT,Độ lệch chuẩn cD1,Std of cD1,float64,kWh,std(cD1),—
Usage_kWh_cD1_energy,I. Frequency-Domain DWT,Năng lượng cD1,Energy of cD1,float64,kWh²,sum(cD1²),—
Usage_kWh_cD1_max_abs,I. Frequency-Domain DWT,Max abs cD1,Max absolute cD1,float64,kWh,max(|cD1|),—
Apparent_Power_S,J. Physical-Domain,Công suất biểu kiến,Apparent power S,float64,kVA,sqrt(P² + Q²),P = Usage_kWh; Q = Lagging Reactive Power
Phase_Angle_Phi,J. Physical-Domain,Góc lệch pha,Phase angle φ,float64,rad,"arccos(PF_lag clipped to [0,1])",Linear scale more discriminative than PF
anomaly_idling,K. Anomaly Labels,Nhãn chạy không tải,Idling anomaly label,bool,—,Light_Load & off-hours & Usage>median & PF<0.50,10 samples (0.03%); IEEE 519 severe threshold
anomaly_idling_score,K. Anomaly Labels,Confidence score idling,Idling confidence score,float64,—,0.3·I(Light)+0.3·I(Off)+0.2·I(Usage>med)+0.2·I(PF<0.50),"[0, 1]"
anomaly_leakage,K. Anomaly Labels,Nhãn rò rỉ năng lượng,Leakage anomaly label,bool,—,rolling_mean(672) > baseline_4weeks × 1.05,"2,336 samples (6.67%); ISO 50001 threshold"
anomaly_leakage_score,K. Anomaly Labels,Confidence score leakage,Leakage confidence score,float64,—,>20%:1.0; >10%:0.7; >5%:0.4; else 0.0,"[0, 1]"
anomaly_overload,K. Anomaly Labels,Nhãn quá tải cục bộ,Overload anomaly label,bool,—,Usage>P99.5 AND (Reactive>P99.5 OR PF<0.70),48 samples (0.14%); IEEE C57.91
anomaly_overload_score,K. Anomaly Labels,Confidence score overload,Overload confidence score,float64,—,0.5·I(Usage extreme)+0.25·I(Reactive extreme)+0.25·I(PF<0.70),"[0, 1]"
anomaly_any,K. Anomaly Labels,OR tổng hợp 3 nhãn,Any anomaly flag,bool,—,idling OR leakage OR overload,"2,388 samples (6.82%)"
anomaly_max_score,K. Anomaly Labels,Max của 3 confidence score,Maximum anomaly score,float64,—,"max(idling_score, leakage_score, overload_score)","[0, 1]"
anomaly_explanation,K. Anomaly Labels,Giải thích văn bản,Text explanation of top anomaly,object,—,Label with highest score; if all <0.1 → No anomaly,Human-readable explainability
